Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
PLEKHN1,2.600240366,2.961124388,3.167147487,3.714581703,2.129504758,3.654261904,3.554856167,2.076265616,3.648438422,1.816570862,1.628407548,1.646680019,1.987697187,3.351473779,3.053668509
PLEKHO1,0.724398059,2.678411221,2.370697565,0.996176138,1.465669714,3.224211544,0.259323952,2.528650085,3.608463263,1.425671706,3.566404904,0.874541197,3.270776514,0.259323952,0.629875218
PLEKHO2,1.484486631,1.278680226,0.896559907,1.081166552,1.565241631,2.707866191,0.768948827,2.425740756,1.412513756,0.462352964,2.341345315,0.610636498,2.524999492,0.678998387,1.138819701
PLET1,0.097378409,1.09868798,1.531923676,0.097378409,0.772793951,2.276831815,2.327477731,0.87394936,1.040097163,2.275782945,2.226797839,2.979307066,2.958185389,0.945431156,0.097378409
PLGRKT,1.95793144,1.253480549,1.271480726,4.116454159,0.84131429,1.947825156,2.136709514,3.032012867,3.317599749,3.36171431,1.222233358,2.351049863,3.542645547,2.860082979,2.128229714
PLIN2,1.819030972,3.844898122,2.963314575,3.160634909,2.621313185,4.32645857,0.435882219,3.096999614,3.166616698,2.957466075,2.431404832,1.279851393,0.755671087,0.435882219,2.63879943
PLIN3,3.981839863,4.171320923,4.699366797,3.924709474,4.21294966,3.931688426,4.801897848,4.701126782,4.028495476,3.417282949,3.819873289,4.328816189,2.885290319,3.006291364,3.858395524
PLIN4,3.043990771,3.192064967,3.26402107,2.791609984,3.802562294,4.590011584,3.118172458,2.621867535,3.15828693,2.79021198,3.787292991,2.781974736,2.370540249,2.490548514,2.640369948
PLK1,5.883800417,5.509014014,5.971922946,5.259750791,5.700752795,5.071156324,5.770886141,4.495145912,5.054526328,5.386294978,5.508500739,5.054129554,5.103223127,8.20176883,3.000478669
PLK2,7.058277538,6.859755906,7.269513061,6.211126838,7.023272107,5.562076344,6.716880294,6.686188896,6.595648154,6.570883904,6.75348862,5.272391161,5.978683036,4.265305437,6.491911475
PLK3,2.201875369,1.114939652,1.883773559,4.079724862,2.697996641,3.220076435,1.931704132,2.032913796,3.252422669,3.217381677,0.110990853,2.008189884,1.526475716,2.631422267,1.998633801
PLK4,4.372876106,4.748462095,3.799469164,4.36575482,2.7804292,3.6433371,4.142408436,3.024501598,4.528700338,4.101803887,4.49702204,4.36849221,4.891856587,3.987462484,3.333834723
PLLP,3.090768327,2.714688447,2.94452747,3.145205671,2.292938765,2.259783546,2.068564094,0.943905137,0.059721935,2.315304177,0.059721935,2.110841924,2.483192561,0.059721935,0.963549698
PLOD1,2.173025194,4.212867642,2.491012108,3.997158742,1.858012667,6.165546228,3.796114461,5.767889487,4.396480339,4.273989559,3.977638586,6.096577687,3.979837655,1.94534681,2.5038885
PLOD2,4.591122431,5.601887526,4.344455213,6.864630954,3.371926031,6.987977487,6.990969939,6.698383912,7.012847265,3.871895039,4.639797113,2.806995939,7.401237462,4.922839495,5.740137425
PLOD3,4.12017746,4.386137652,4.120492792,5.874496769,4.800564,3.930116314,4.965756484,4.569412962,5.070823853,4.21713014,5.069534978,5.41396156,4.94868133,2.998021389,4.47498693
PLP2,8.013047183,8.545936772,8.582677507,6.324035756,6.143143961,6.47874882,7.279121556,5.955920742,7.361741688,6.255113931,7.056675624,6.477179197,6.278387965,6.016572268,6.734089564
PLRG1,4.497982584,4.436657053,3.250452815,3.970565422,4.775993187,4.254234057,4.312659999,4.063946012,4.044284827,4.441207818,4.948091915,4.65924744,4.927444023,3.381839637,3.977408943
PLS1,4.698756912,3.29282206,4.011319921,3.483845532,4.366385728,2.112508019,3.996542616,0.722002376,2.288546507,3.68878999,2.872945419,1.911888368,1.578914772,4.893790515,2.346497369
PLS3,7.035822348,6.520845783,6.628003882,6.22207218,5.407980486,4.997734167,6.047746609,6.633330152,6.589038707,5.974994932,7.26454906,4.703717069,6.306056795,5.32700005,5.405369677
PLS3-AS1,1.643535865,2.807073625,2.960638597,2.863363354,2.176597004,0.968682326,2.031174646,3.298307807,3.057580858,1.25013384,2.921100897,0.153751921,0.831042313,0.902346401,2.629443191
PLSCR1,4.574683656,4.748540138,3.815770366,4.901067265,3.54103005,4.543077389,5.49335955,3.309298618,3.751598571,4.965944507,4.330089831,6.896309609,4.020874708,5.322432328,3.190104369
PLSCR3,3.580751911,3.505869524,3.710385944,3.040433264,2.607617891,2.155719033,4.384339381,3.262618629,1.998824704,4.142473847,1.849572616,1.99604555,3.002769468,1.228648577,1.243567893
PLSCR4,0.397424751,1.400713644,0.314531791,0.579170134,0.803435703,2.959619369,0.905537516,3.280843739,0.314531791,0.314531791,0.314531791,5.229300673,1.06292705,0.713745992,1.547508047
PLTP,8.267634149,8.67687219,8.333664233,8.856879655,8.459358651,9.582280492,8.850055621,10.65248199,8.660245275,9.006785022,8.30913269,8.15138033,8.982019311,7.846184729,9.688891176
PLXDC1,0.654697691,0.466670812,0.957419165,0.674571374,3.369286102,1.504420141,1.110686267,0.937938011,2.375985971,2.356881934,3.126956248,0.99638137,1.853261949,1.477392282,3.456911391
PLXDC2,1.508584268,0.418730732,0.142609122,0.142609122,1.480233202,0.142609122,0.481522444,3.896117232,0.154552822,0.142609122,1.931049924,0.142609122,0.142609122,0.586928261,3.63585295
PLXNA1,4.691807585,4.983805617,3.470541628,2.18192119,1.558170155,4.071654626,2.886270499,3.050562718,4.238822647,3.678251911,3.313927002,2.028056214,2.304328085,1.12834642,0.960732202
PLXNA2,1.683804303,1.841465569,1.213188748,1.991349807,1.959809926,1.697783263,1.181892655,1.40691803,1.853576797,1.098202034,0.203114094,1.546938725,1.468664846,0.806659121,0.859395659
PLXNA3,0.770477542,0.825522688,1.388983424,1.502659135,1.967504014,1.890165027,2.363554565,0.80275111,0.874544546,1.084865416,1.931384619,0.164021066,1.179031334,0.480644117,0.732336149
