Gene,KKU156,KKU213,KKU214,HuCCA1,RBE,KKK138,HuCCT1,HuH28,KKK068,KKK131,KKU055,KKU100,SSP25,TFK1,YSCCC
A1BG-AS1,0.118194008,3.147135916,1.297722727,3.252154216,4.219591607,5.1689614,2.781135781,4.114952617,5.253925821,3.237455512,5.510026822,6.416648397,1.412148944,2.601930017,4.953977054
A1CF,0.624381414,0.491364699,0.022440644,0.592921606,2.041687956,1.949386151,0.280268511,0.140518186,0.293452625,0.869674802,0.283149127,0.156256805,0.759140135,1.015345948,0.30811789
A2M,0.63053921,0.579833064,0.069323073,0.54038436,0.069323073,4.862834146,0.453420683,0.485867897,2.314077072,0.789751535,2.045081686,3.798934225,2.429275982,1.680344476,0.069323073
A4GALT,0.949702079,1.751427208,1.997277239,1.729143091,0.178400426,3.669478364,1.795010058,2.917202159,1.131322109,1.758850974,0.178400426,3.113143527,0.779392796,0.178400426,1.247048212
AAAS,3.151060257,1.925845179,2.917527706,2.370789163,2.721028547,2.848105716,2.879823949,2.693538205,2.61634315,2.893169346,3.008641429,2.713096728,2.05760263,1.819098287,2.066642277
AACS,3.667485829,2.517900154,2.740391364,1.961033429,3.487793092,3.283731153,3.686659271,0.462348898,2.736693457,3.701127354,3.874994274,2.059772247,2.738382685,3.427748818,1.029639026
AADAC,4.471407937,2.00173647,2.538631606,2.775235085,0.699954018,2.4011309,0.323531123,0.798068024,2.390244058,2.79947802,0.646601892,4.329767228,2.175834325,3.257741223,0.323531123
AADACL2-AS1,6.77373335,5.718198531,6.38013545,6.838090791,0.144133082,4.688454417,0.144133082,0.144133082,6.731212153,3.351888951,0.144133082,6.229261023,6.694651904,6.175553343,0.144133082
AADAT,0.253498638,2.080490557,1.144919547,0.962237271,2.149852083,2.027210661,0.660664716,1.024059855,2.015101955,2.000525364,2.368807608,2.769220063,1.311088127,0.430180023,0.716131865
AAED1,4.508198448,4.157982841,1.639515233,4.185831391,1.67965961,2.59610419,3.05309249,2.735733187,3.431820567,1.757626745,4.157986768,3.107702548,3.714320765,1.295614499,1.718351253
AAGAB,4.217311944,4.554316028,3.84873909,4.811971055,3.888621752,3.745146367,4.403705712,3.216295603,4.183768027,4.549073298,4.216460045,4.738176622,4.284103429,5.234757689,4.31897696
AAK1,1.667434548,1.758628837,2.14631404,1.338875946,1.377941877,1.152879708,1.246561402,0.816498536,1.649514802,1.85951297,0.740384092,1.501652359,1.130027443,0.596319517,1.847553744
AAMDC,3.870114242,3.646290169,4.177604129,3.545577923,2.534842547,5.502415888,5.117904667,6.830119432,4.216418852,5.719047642,2.816312542,5.606621469,4.36903951,3.412953657,5.127671938
AAMP,5.099159974,4.988380844,4.737459936,2.971075987,4.04911326,4.59739061,4.889046262,4.746669135,5.21481972,3.657562983,4.047897947,4.708414407,4.527518584,2.831944089,2.710410734
AANAT,5.639307389,3.082252085,4.191328056,1.591172358,5.019375369,1.787091018,5.885449521,0.779705833,2.817165658,0.606261651,1.748640275,0.093456223,1.688021434,3.913399705,0.796702955
AAR2,2.48982825,2.643631281,1.944021969,2.076043864,1.317361201,1.869736958,1.847104756,2.644634401,1.776788733,1.650232884,1.436250606,2.877548167,1.577492424,1.673279428,2.92906793
AARS,6.068268731,5.595107419,5.58873361,6.16868007,6.353963271,5.845318181,4.875033745,5.349287626,4.837686306,4.185021642,5.059719867,6.590391515,4.640387084,4.423823928,6.195337646
AARS2,1.478035003,1.760496497,1.641859728,0.871155046,2.204606786,2.390492731,2.019204124,1.462617038,2.103230719,3.004545144,2.445137856,2.194229589,1.230415919,1.025434175,1.529796384
AARSD1,5.874663648,5.255688772,5.247770173,3.57755893,5.253116813,3.961713145,4.505703107,2.692234559,3.922138071,4.649608066,3.009235305,3.85196972,3.496430455,2.382246093,2.233508879
AASDH,1.589492009,1.468254269,1.715712586,3.041419752,0.963580059,2.800131068,1.913329492,1.810752435,1.676218074,1.966368522,2.751426393,2.860177231,2.897074732,1.536486804,2.258000091
AASDHPPT,4.362196972,1.553756852,4.030529649,1.581353585,1.605228583,3.381153433,2.804777739,2.70749568,2.84261234,3.829733294,3.103201574,3.425302946,2.464823936,2.268733089,2.858144404
AASS,2.841234359,1.245994122,2.317054111,3.428516331,2.08510597,1.552850889,1.679572972,1.127090195,0.697658353,1.476502765,2.616938477,1.289407402,3.017588377,0.53197954,0.306757632
AATF,6.528061014,6.631989194,6.665207506,5.833787734,5.716410442,5.062641017,6.355531815,5.34224962,5.505420701,5.82959644,5.882078501,5.989939172,5.637731922,5.109546236,5.082707703
AATK,1.271956755,1.184258583,1.858780278,2.501098222,1.342688061,2.207821287,2.713392442,3.163030345,2.359864685,1.729479765,1.041828611,0.753457639,3.527599093,3.419403972,3.508551203
ABAT,0.762749209,0.568228518,1.483102511,0.661962776,0.810888964,1.315606247,0.436304621,0.561713753,0.094456873,0.365540252,0.824521982,0.094456873,1.380599581,0.886622421,2.667301511
ABCA1,1.292670651,1.421918566,0.350331882,2.216677137,1.699812564,2.822403388,1.134591712,2.686185397,2.004392367,2.354607142,0.609150439,3.928860189,1.9696492,0.579360376,2.059761253
ABCA11P,0.393867707,1.710204318,2.177220892,1.057285719,1.879219622,0.393867707,0.499561018,0.691903579,1.233273533,2.606824846,3.066795761,1.208212968,0.393867707,1.169123792,1.499607013
ABCA12,1.99816846,1.509517473,1.446213797,0.326844154,1.66735256,2.218108162,1.513984803,1.348500551,1.764686871,0.934472789,1.924648495,0.450335791,0.85121475,2.298308358,2.628593444
ABCA17P,0.732935591,1.079023333,1.231004238,1.731276961,3.046290562,4.847983915,1.132940777,2.172963908,2.364198333,1.689871992,1.606227296,1.71553255,2.003379661,2.83533645,3.878269915
ABCA2,1.189809499,2.426470278,1.232257236,1.458595701,2.628383177,1.832545404,1.20865224,2.945821695,1.607142265,1.000373404,2.675109841,2.286171646,0.180189782,0.80860454,0.642586056
ABCA3,0.090519089,0.506353491,0.090519089,0.391523038,2.794064236,1.176515923,0.511871464,1.035625652,1.031681363,0.456525957,2.159444635,2.424101648,0.090519089,0.090519089,0.569903623
ABCA4,0.057937057,0.057937057,0.250560307,0.776377431,0.995540896,3.776153097,1.500988686,1.707372504,1.019313199,0.982334111,1.996328173,0.057937057,3.32841246,0.664177729,0.51930366
ABCA5,0.317189871,0.593705448,1.063201572,1.620882669,0.229189425,1.434545368,1.190408157,0.856601173,0.733033949,1.147770694,0.715720563,2.053666907,1.620513911,0.457928228,1.879419408
ABCA7,0.621933386,1.314705369,0.629901521,2.379652578,0.38658225,1.070075028,0.567767616,3.369694901,0.249650553,2.174557413,2.04356696,0.072912478,0.969199258,0.941798659,0.810785393
ABCB10,2.650850267,3.639005886,2.364656248,2.875919681,3.371494133,2.082087506,2.706155407,2.226781988,1.490870136,2.355738582,2.936683656,2.971132705,2.768609789,2.520382771,2.769190894
ABCB6,0.809364922,2.341368121,1.41898368,0.826803816,1.919382927,2.802574191,1.918793318,1.456832136,1.839493988,1.977312041,1.265662288,3.425850812,3.798383933,4.171228735,2.460553226
ABCB7,4.381557951,3.764205145,3.6440714,2.59273547,1.933141985,3.328772017,3.931204335,2.472878154,2.952075355,2.416452166,3.799238709,2.198507888,2.145524055,2.498960396,4.520048998
ABCB8,1.083175357,0.831665005,1.781788353,0.561171537,2.623078598,1.732786223,1.691692455,1.791534606,2.742219943,0.289288665,1.436826785,1.544329071,1.032832286,1.349221124,0.736679872
ABCB9,1.870465416,0.083270279,1.848840671,0.611059647,1.124485781,1.654377431,0.535391933,0.466773298,1.105024136,0.531039066,0.879970731,0.51584727,0.856092613,0.083270279,1.134167629
ABCC1,2.573196613,2.613243738,2.541576652,4.107600432,3.325415909,5.346598296,2.93016425,2.449851323,2.606554938,2.659502886,2.76904113,5.902505153,3.602200034,3.444348349,3.085158404
ABCC10,3.179381706,2.972706189,3.213170204,3.248071948,1.670611481,1.716681683,0.488936758,1.050439292,3.052828354,1.90753454,1.592391628,0.891746649,1.075539401,0.98863931,1.447219962
ABCC2,1.683391395,0.479691917,0.630448728,2.459150098,3.385412587,1.363345781,0.253038916,0.253038916,0.253038916,0.254596926,1.170619097,1.03662529,5.600676055,5.697311792,0.694643624
ABCC3,0.880069312,0.66458584,1.013586498,3.27659632,5.652174596,6.268465874,2.460363299,3.41406648,3.707322874,1.234204186,0.180221705,4.710572063,4.112527634,4.493819692,1.038583935
ABCC4,3.325042816,2.786221699,3.007162983,2.060308827,4.861707191,1.448680693,2.368803297,2.897402683,2.078695507,1.321058577,3.458184302,2.113062473,1.785819578,3.032539346,0.743002539
ABCC5,1.462950414,1.860271583,1.867599494,2.983923432,1.521683838,2.505940465,2.440819555,2.6267555,2.475870357,2.45264113,3.042668533,1.537648221,1.82574595,1.103585265,2.44995948
ABCC6,1.012828686,0.369901747,1.249592887,2.422093447,1.358533754,3.680801426,0.755755955,1.564611444,0.753141388,0.869638684,0.969333092,3.575903677,2.460420714,4.019970185,1.911766141
ABCD1,2.611241444,2.598041881,3.376026688,1.360393089,2.04447592,1.611096562,2.88360707,4.095276641,1.214426487,1.995173307,1.788227288,3.425533647,2.539648808,0.587927884,1.271150868
ABCD3,4.071629403,5.185338006,5.279367312,4.645160481,4.374674417,4.278641516,4.534148911,4.213542561,4.325061007,3.595777519,5.157709646,4.804083309,4.403304448,4.954397641,4.970712072
ABCD4,1.816271174,2.297842926,3.098027264,1.409095224,1.839232502,2.574232582,2.52017539,1.977594401,2.109340368,2.183770833,1.981524841,1.606520331,1.075831648,1.047306556,1.453477267
ABCE1,6.776135397,7.281533569,6.265454179,6.805666738,7.085440085,6.222421221,6.921749174,5.722818083,7.033314381,7.392273128,7.222768739,6.891095942,7.633579987,6.513248992,6.475929867
ABCF2,4.093384502,2.956080776,3.598432996,2.5247987,3.344857121,2.706642664,3.563570356,2.804084753,3.847240946,3.46377336,3.544096923,3.171761494,2.828113735,2.20157058,1.903827169
ABCF3,3.620138028,3.538036592,3.105195956,3.595975104,2.817847584,3.155914087,3.321732475,2.844500876,4.239328527,2.522522359,3.017521778,2.683606069,3.410524555,1.925928579,3.325847868
ABCG2,3.216787921,2.5280149,2.398952041,2.376994912,0.224054497,1.651261219,0.589348373,0.224054497,1.936732423,0.282650024,0.992607883,1.027428834,1.638048058,1.843778169,3.960440441
ABHD1,6.420134072,6.968196806,6.16983603,6.095740444,6.420883747,6.693106458,6.588595912,6.941489271,6.482664331,7.105416488,6.176221111,6.471608126,6.488018969,6.330114622,6.755998213
ABHD10,3.877980762,4.1960912,4.17449956,2.496617626,3.136829797,3.505615475,3.455539875,2.754526478,2.714344178,2.844615294,3.412609903,3.793777311,3.331736221,2.770005249,1.654368536
ABHD11,2.880726081,2.733850449,2.742806421,3.691231427,3.819878545,2.073949662,3.935005621,2.57682986,4.514195107,3.668796504,2.252822169,2.445657997,2.803474857,3.606375275,4.334328291
ABHD11-AS1,5.278517549,4.065614827,4.823901077,4.013362285,2.752689948,3.118361069,2.800842147,1.615589271,1.492399965,4.783441322,4.213849427,1.768457837,1.750350548,4.234041252,4.489977836
ABHD12,4.935187452,4.461297691,5.004462264,5.421690383,6.242174701,5.016489641,4.957108831,4.939073659,5.754177148,5.495392257,4.880620442,5.255629172,5.294040627,4.759280988,5.248017211
ABHD12B,2.24185795,3.982510042,3.508892286,4.097775277,3.841980753,2.824025849,4.140147459,4.290013653,1.976825021,1.658246778,2.156659146,3.473827137,3.50452163,3.654093849,3.959140456
ABHD13,2.828859063,3.256661995,2.501124415,3.011743938,2.528358072,2.561017852,1.87014186,2.767064874,2.818084879,2.302501594,3.141913648,1.876717463,1.071477507,1.426931775,1.81467974
ABHD14A,2.726621135,2.445724849,3.309847847,2.843305084,1.226960919,1.048407325,2.063901448,3.440748646,3.923341579,2.170500291,2.984212828,1.90096837,1.781582689,3.461104849,1.247235563
ABHD14A-ACY1,2.809123273,1.212770657,3.121974501,2.821995981,2.347448547,1.825641434,2.808684679,2.478423356,2.121459497,2.594650859,2.74526677,2.25279735,1.893680397,2.226928724,1.617101763
ABHD14B,3.657344253,1.071972824,3.47944033,3.382307476,2.021772505,1.54599104,2.612104489,2.62666588,2.234206042,0.395980554,1.294125602,1.15159911,1.276849192,2.18254242,1.922625033
ABHD15,2.708812463,2.697692504,3.51519128,3.861145772,1.428169534,3.285259624,4.407757033,0.99879332,3.786924715,2.869763652,1.77140287,3.001078799,2.7741758,3.070923067,1.827021621
ABHD16B,6.814895993,7.024143076,6.076958551,8.447232554,6.94244185,7.110121441,7.506071955,7.41491467,7.628699717,7.829574306,4.928056087,7.153497515,5.963673544,6.701573546,8.004305986
ABHD17A,3.559963413,1.886299155,4.117484995,3.244592628,1.918179829,3.720672251,3.731040217,3.551570504,2.849626172,3.081752939,1.563314311,2.793067072,1.241712245,0.058667214,2.679096223
ABHD17B,1.622974449,2.064333399,1.862720828,1.796798557,2.164853124,2.031073341,0.989380612,0.75312885,1.433940823,2.210328032,2.785344464,1.585205623,1.543767886,1.344490423,1.815564308
ABHD17C,4.9699888,3.395622239,4.110488399,4.058758022,2.05824681,1.23462719,3.191225228,2.2375321,2.859542674,3.14338095,2.132329583,3.769659975,2.307152751,3.395529363,1.643122088
ABHD2,2.881594596,2.547775544,2.471566536,3.8917125,2.75003424,2.465860034,3.378467013,3.228115566,2.946723467,3.733647472,2.267741128,3.265100844,3.160367505,4.349745244,1.382542347
ABHD3,3.081028614,3.809574341,4.198952317,4.236256654,2.64736375,4.58357796,3.214660931,2.689818922,4.351853781,3.715880881,3.022855403,1.328222084,2.987988721,4.020602028,1.744211852
ABHD4,2.226128365,2.309573582,1.881651505,2.303615855,2.987844947,2.358671309,1.833736975,3.457384157,2.911999537,1.635805724,1.574400979,2.510867142,3.466221667,4.903651499,3.33963411
ABHD5,3.432634785,2.803126354,2.277320133,2.156460345,1.761965898,2.23703695,2.634040426,3.046967627,1.57598291,3.05772739,2.613198336,2.129515814,1.889936616,2.836537484,2.184295574
ABHD6,2.3157716,1.362886367,2.128716219,0.463931807,2.461189743,2.372412745,0.998219207,0.966602111,2.62600406,1.370957128,1.33362398,1.845810115,0.892270908,1.281707708,0.260046987
ABHD8,5.450270971,3.985113598,5.406808941,3.502861968,5.197525844,5.969661311,4.673448382,5.341026536,3.200362117,3.739032341,5.782496383,5.962852493,2.705799593,4.172742665,3.51863563
ABI1,5.916010153,6.160331271,6.417787072,5.56902989,6.012743866,4.31648165,5.350474002,5.365548121,5.876579718,6.474464408,6.601707359,5.027974364,5.742046374,6.168971808,5.693432784
ABI2,3.224265494,3.22363208,2.860016152,3.527320455,4.009708688,3.392376856,3.055221675,3.826730091,3.873934442,2.06483041,4.730406161,3.986407792,3.016059563,3.381219269,3.310106979
ABI3BP,2.130742468,2.576427933,2.681750218,3.321070993,3.162921636,1.744642164,2.032644998,2.868854112,1.609109785,2.012607935,2.068849049,3.555209038,2.102073874,1.737905823,1.765065999
ABL1,2.406046403,2.327700387,4.319699385,2.056874884,3.472608438,2.749072631,2.668616812,2.505332162,4.006398695,1.823391688,3.881992341,4.323709365,3.036506828,2.35470209,2.04062851
ABL2,2.232822098,2.381363438,2.47742261,3.554417857,2.046402677,2.419287986,3.576018569,2.419332637,1.6907861,2.434475573,2.277005299,2.680158373,2.966486706,2.138464863,2.395659953
ABLIM1,4.38385988,3.969972928,3.496222826,2.599769102,4.119275601,3.503097274,3.649653391,2.044226161,1.601785148,3.772651842,3.707415409,3.502396763,2.673763126,3.785333097,1.252931206
ABLIM2,0.674984302,0.026334932,0.712226932,1.62397303,0.026334932,2.285251405,1.551107441,0.253613249,0.353971352,0.902135421,0.026334932,0.284201257,2.062775382,0.321971087,0.328073694
ABLIM3,3.6354557,3.041095814,2.532452943,3.359009653,2.886227552,2.251961602,4.304552555,2.502414034,3.766887024,2.522683504,0.447479516,0.7511941,3.662380779,1.485836577,1.986685046
ABR,2.353043633,3.118003743,2.246596565,4.061970915,4.2767971,2.215812229,4.486880278,3.572798911,3.718100362,4.52655797,2.92873068,3.583468725,4.455447293,1.137073531,2.90083639
ABRACL,4.029196115,4.987987761,2.67089548,0.450474355,3.076737812,2.499205241,4.037118708,3.792298638,4.507399,4.350602992,5.712319082,1.221047884,2.077860847,3.212196748,4.034994217
ABT1,2.414011186,2.82516999,2.150921309,2.934515158,2.551715064,2.52064085,2.942691484,2.212105547,3.173745207,3.225637761,3.385634515,3.071805497,2.030239337,1.442286307,2.962456792
ABTB1,0.184796061,2.372055035,0.184796061,1.085149563,0.598878751,2.486256534,0.777118266,1.598469012,0.565371132,0.478105461,0.184796061,0.184796061,0.471222569,1.247784296,0.837895716
ABTB2,3.180195963,3.295528046,3.165798673,3.381256524,3.381448401,3.505973929,4.703583407,3.133234031,3.260770536,4.66703389,5.560238002,2.733673788,4.009799376,2.798697793,3.757812123
ACAA1,3.187627465,3.407751205,2.320599109,2.571254163,1.480671932,3.117225723,3.394407488,2.251965915,3.01992313,3.863442755,3.414576943,3.321694859,1.802177891,3.100987143,1.578454611
ACAA2,1.270571202,3.234107827,1.880360113,2.556656747,4.49580428,3.248367225,3.526022749,3.704517179,2.802184469,4.537853052,4.318726499,3.936975064,2.61169571,1.126500827,2.782763961
ACACA,4.1621418,3.91002651,3.34998587,2.584049641,3.558349262,4.264003077,3.665223744,2.655638623,3.692051752,3.65836483,3.997883485,3.22663993,3.207934702,3.824027574,2.642438397
ACACB,0.725571141,0.649166409,0.784098491,0.186162209,0.523062124,0.434937124,0.424376846,0.369691134,0.186162209,0.186162209,1.294805402,1.006528965,0.842331978,0.818059286,0.807590227
ACAD10,1.508493854,1.703010437,0.686991833,0.650690149,1.740112145,1.971457789,1.435788053,0.991319946,1.744058819,1.362750885,0.463444115,1.074540314,1.607863654,0.612287708,1.394580587
ACAD11,3.734621594,3.736329445,4.206021225,3.77460105,4.277742061,4.428433356,3.689474339,3.913948594,5.149293133,4.06666553,5.200291114,4.316593089,3.432659114,3.431186124,3.020027173
ACAD8,2.475336715,1.33343919,1.007841709,0.720196314,1.703568454,2.55248866,3.059618755,1.458104883,2.066116132,6.116215138,3.644651303,2.660051787,1.283531333,2.539199272,2.369649492
ACAD9,2.728222143,2.80449463,3.071007623,2.296748861,2.777118212,2.52742201,2.849378527,2.186382571,2.351319019,2.856288548,2.011231809,2.644188471,1.863644737,1.591347953,0.8607247
ACADM,3.384243225,3.201037315,3.470960616,4.488134897,2.616962438,4.105419751,2.810904706,2.218650474,4.139078998,3.431920241,4.268597809,4.518316494,3.194798408,3.103247636,4.643964259
ACADSB,1.618692957,1.381092741,0.376024394,1.02310796,1.683563196,1.974726462,0.912801759,2.047692167,1.729913138,1.247073407,2.333220862,2.691968304,1.425816765,0.475840789,1.380295581
ACADVL,5.001808377,5.782154057,5.546709523,6.763760048,6.259612815,6.279471143,6.133740735,6.445435588,6.92141098,6.866006779,6.828545436,6.62385302,6.882665873,4.63875581,6.214445502
ACAP1,4.911327988,4.618107772,4.49492508,4.883757905,4.683316373,5.235903729,4.58383859,5.155883105,5.14100101,3.779104261,3.706737766,4.915035427,4.934708964,2.672752903,5.191190503
ACAP2,2.583598976,2.951305792,1.769123384,3.870133933,2.420285554,2.53035411,2.43463479,2.621604976,2.003540076,3.033648183,2.950027821,2.112221158,3.157552665,2.516201726,2.885942367
ACAP3,0.404085092,0.863166357,2.015180013,0.349675254,1.828283689,2.811127157,2.802544051,3.480657188,2.487798311,0.893140068,2.267345472,2.251276975,1.127846244,0.163953517,1.899168402
ACAT1,6.725772095,4.824235923,6.42835947,1.690586286,3.949923959,4.260996829,5.778617448,4.343253917,5.177155773,4.131055849,5.24156152,5.835855577,6.006809087,4.407587003,3.471362732
ACAT2,10.69016365,10.9711353,10.12211066,9.487465146,10.10879353,9.257953955,9.436036937,9.908097297,10.22770673,10.05786673,10.7130467,10.01348658,10.42366293,9.900621943,9.742201804
ACBD3,4.789969492,5.025445258,4.89469722,4.818571421,4.718540944,4.360222796,4.550524152,5.295162734,3.444890225,4.59323921,4.38045806,4.400715626,4.755180156,3.944356443,5.280291179
ACBD4,1.817966159,1.233004967,2.879950806,3.084336198,2.153604367,3.235776455,1.533292296,1.990066834,3.119234264,2.221326471,1.646680725,2.984146518,1.677466846,2.950807063,1.905054221
ACBD5,3.128421802,3.133196777,2.609706885,2.614799118,4.558802192,2.542177407,3.8086189,2.648896367,3.698964651,3.036331717,3.612732165,3.62552222,3.718562045,4.278952732,3.13640825
ACBD6,5.627927909,5.513732755,5.283923488,4.857799803,4.94641581,4.447479753,5.135974375,5.364143285,3.186958654,4.164894937,4.595057558,4.711424447,4.244333157,4.467313118,4.426094095
ACBD7,0.66149535,2.560745424,1.29490732,1.373335075,0.902516708,0.446624289,0.835658598,0.314589261,1.182225873,1.414275986,2.568101083,0.314589261,1.342583225,0.314589261,0.321292682
ACD,2.912791967,4.042095994,3.224186892,3.757768792,3.883467842,2.745438819,1.880118841,2.889020499,2.715886426,2.749575429,3.043605945,3.002430593,1.628236085,0.874060943,3.14336864
ACER3,4.050144545,2.804589903,2.613040819,1.961845324,1.82543199,1.417915139,1.625023007,1.950465145,2.295472384,2.454065595,1.33146168,2.530406099,1.425556265,1.904019808,1.55241384
ACIN1,8.212084197,8.083575786,7.988056734,8.049934295,7.864286326,7.864259547,7.426642555,7.557689483,7.881060942,8.742603042,7.43692974,7.636389697,8.330480876,8.057295803,8.15534901
ACKR4,3.575268733,3.74921464,3.648411629,2.435534421,2.468942682,2.459249686,0.755459277,2.02663953,2.585358698,2.592498377,4.00882333,1.989576875,2.75219144,1.540045899,2.910431884
ACLY,5.700841227,4.930436467,5.254263647,4.779167679,6.342407735,5.147736568,6.299495384,5.300144885,5.581289983,5.759188124,5.796398556,5.365740611,5.466884462,4.831706141,5.166559501
ACMSD,2.703070109,3.665149421,4.343501765,4.108178701,5.441444935,3.343475098,5.813674597,4.095434962,4.477101881,3.832849692,2.885119372,3.867852066,5.084729916,4.627610459,5.349827916
ACN9,3.099309677,2.665895351,3.129615473,1.543480893,1.671764133,1.45315954,1.899420302,1.825364539,2.140634439,2.114074504,1.909468808,2.64077751,1.738415661,1.587711784,2.519476009
ACO1,4.613621803,4.279806369,4.341667736,5.861498971,4.278992553,3.465035129,5.749465385,5.159291524,3.68319652,4.914779153,4.33886867,6.112319133,4.878109969,4.693300348,3.363957542
ACO2,9.27570653,8.954563894,9.089430803,8.354586942,8.622243319,8.519754872,8.986236897,8.986413462,8.681677551,9.521044675,9.352201291,8.852740611,9.068544506,8.865111929,9.03395193
ACOT1,0.237359064,0.699197497,0.237359064,0.237359064,1.94274623,3.751309909,0.994197351,0.849954907,1.091488227,5.254925551,1.332707745,2.195236967,2.452117433,3.787260453,3.557867993
ACOT13,7.22607734,7.629312526,7.415558077,7.510002911,7.594717683,7.657088226,7.787700534,6.718874139,7.611176429,7.582786347,7.058029727,8.638240811,7.849198805,7.322452964,7.92465996
ACOT2,4.913134833,7.321708479,7.120240851,9.597013707,5.650908974,6.590013028,8.39359796,5.716606273,7.345702455,7.841468477,4.949638096,7.182003116,6.531567732,8.114255198,7.197757789
ACOT4,2.012058373,1.690123775,0.077407741,4.46632594,0.077407741,1.994901639,2.900090674,0.077407741,0.077407741,2.19030803,0.983056365,0.588907109,0.077407741,2.821725277,0.077407741
ACOT6,2.241949853,0.049908363,4.214744876,0.049908363,0.049908363,2.601454304,3.438058478,0.846945506,3.142682986,3.247945623,2.146324161,0.049908363,2.087590801,4.747220778,1.11120178
ACOT7,3.923700623,4.68939379,2.411981338,2.564424885,3.443820936,3.943561739,3.287860899,4.880654003,4.978459715,2.871699311,4.181978106,3.743524789,2.319559009,1.143371833,3.106860879
ACOT8,6.054756676,6.207909116,5.674303438,6.488572717,6.825618111,8.078042436,7.511649454,8.772590853,8.138228005,6.927092409,8.012476701,7.060500488,6.620313302,5.445209324,6.520383497
ACOT9,5.095375394,5.044689833,4.035858947,3.425756186,3.558445397,4.716517894,4.559414674,3.670539332,3.651092769,3.910448882,4.888428823,5.512345736,4.534150163,3.441299492,3.761259393
ACOX1,4.775148491,4.77291216,4.862176607,4.782084165,5.149915724,4.862496407,5.591807676,4.724690972,5.513770589,4.865626712,5.409070182,4.863977994,5.553167703,5.175355831,5.308871958
ACOXL,2.458891631,1.674061069,1.338969891,3.233747592,3.165791359,3.01706591,1.110146262,2.166672997,1.849490388,0.998612911,0.07379141,0.07379141,1.164721377,1.033427246,2.893732594
ACP1,5.777594796,5.757119753,5.328385979,3.623759328,5.235064375,5.294182888,5.301481467,4.401992313,3.058228501,3.741863937,5.233335345,5.438602709,5.247295925,4.795245117,4.926620758
ACP2,4.360380714,4.31880173,4.243653318,3.482257322,4.651327275,3.246739323,4.911821206,3.374260346,3.134676563,5.094571082,3.618439781,3.356406283,3.182773299,2.226409882,5.23564234
ACP5,0.941824409,0.683558839,1.350124977,3.056354042,2.461296639,2.338195147,1.279831545,1.249854832,1.848686777,0.140509408,2.436427759,1.151342593,0.565731901,2.682239316,3.082518063
ACP6,2.810989992,1.075756298,0.822187203,1.247245676,3.574834029,1.275570135,3.68379094,2.667835319,3.638418122,1.944372348,3.455998695,1.376586373,1.508396329,1.353790657,2.059469976
ACPT,3.956712537,3.781533395,2.976496147,5.609897869,4.917934875,4.820672729,3.843802309,3.589655761,2.60141396,3.335722791,5.558728236,4.06831994,1.654277703,4.730734983,4.662931157
ACRV1,3.807634186,5.013228845,4.278044732,4.661556222,5.22813827,3.299764635,5.337838972,4.772662464,5.437524397,4.575160365,5.741789887,3.903697417,4.332337547,4.566694681,3.096448685
ACSBG1,2.804179275,2.826092702,4.184914493,2.331855027,3.574379497,1.782400292,2.375138224,3.69953433,3.349309775,2.415134136,2.431803564,2.671962266,1.093710023,3.299036454,1.362477593
ACSBG2,1.153705588,2.220428892,2.055013084,3.637328049,3.39299346,3.531279809,3.511672536,4.289960455,2.081364628,2.889406447,3.274572039,2.832690059,1.562989641,0.949319641,3.78312227
ACSF2,2.277472286,1.337528584,1.107091943,2.605290596,0.755454824,4.130596584,2.960939265,2.123483773,3.594488141,3.948766,1.30995677,1.61696836,2.19249621,1.647486525,2.600353569
ACSF3,0.895123987,0.833366021,0.695690243,1.704508668,1.003322974,1.462267082,1.232958514,0.771626221,2.351370437,0.928907193,0.809290217,1.593545613,0.395645849,0.445816816,0.455028266
ACSL1,2.431753217,2.776853892,2.943824667,1.612273955,2.148806228,4.958708957,2.941921834,2.669509908,1.838473954,2.144827967,2.549567573,3.647150536,3.817542227,3.388495414,4.580058177
ACSL3,6.217176933,5.590031139,5.522750548,3.829540138,4.052403469,6.129163039,4.960718638,4.463677804,4.735427735,5.603477879,4.393198467,5.230614973,3.848420591,4.638867489,3.417062625
ACSL4,4.728171739,3.850145165,4.779082539,3.575244268,4.280548019,3.72571051,4.785052042,5.556178128,4.096807364,4.415842555,4.061361447,3.121936667,5.031441896,2.164785334,2.843078322
ACSL5,3.926809326,4.49501414,2.302612439,2.262526744,2.030324355,3.752749451,4.880590582,4.316924421,4.078842998,2.134705788,3.197278429,3.144933381,4.067935222,2.071958107,2.11818109
ACSM3,7.476920262,7.712778804,8.451827003,8.217289702,7.402717475,7.174676689,6.739847345,6.302556164,7.373175667,7.617293508,7.343731029,7.440927304,6.48151485,8.002568398,7.880759576
ACSM4,5.358484316,5.718309999,4.794748654,5.658595065,0.855109443,3.383297539,4.379492727,1.913440923,6.442218315,4.940968435,0.079661373,1.214163432,1.542877494,3.951166286,4.004052115
ACSS1,3.069606227,0.987745549,1.150823582,0.219198161,2.386922816,1.366943295,0.749703475,0.57286541,2.929723298,2.922584049,0.854581408,0.477358429,2.030213637,0.798724098,0.219198161
ACSS2,4.799774942,4.553309437,4.53561357,3.688979216,4.53301522,4.975976021,3.822581271,3.853312111,4.574448534,2.929007049,3.960774969,4.013848846,3.947065893,4.226393432,3.873081773
